dataset	subject	session	n_raw_runs	n_timeseries_runs	n_qc_runs	raw_duration_sec	usable_duration_sec	passes_gate	has_connectome
friends	05	011	8	8	8	5507.04	4489.5	True	True
friends	05	012	4	4	4	2905.5	2725.5	True	True
friends	05	013	10	10	0	7083.46	7131.0	True	True
friends	05	014	12	12	0	8336.55	8392.5	True	True
friends	05	015	4	4	0	2793.75	2812.5	True	True
friends	05	016	4	4	0	2729.68	2748.0	True	True
friends	05	017	12	12	0	8291.85	8347.5	True	True
friends	05	018	4	4	0	2780.34	2799.0	True	True
friends	05	019	4	4	0	2780.34	2799.0	True	True
friends	05	020	2	2	0	1424.44	1434.0	False	True
friends	05	021	2	2	0	1326.1	1335.0	False	True
friends	05	022	10	10	0	7119.22	7167.0	True	True
friends	05	023	4	4	0	2652.2	2670.0	True	True
friends	05	024	5	5	0	3495.54	3519.0	True	True
friends	05	025	10	10	0	6871.88	6918.0	True	True
friends	05	026	12	12	0	8342.51	8398.5	True	True
friends	05	027	12	12	0	8683.72	8742.0	True	True
friends	05	030	4	4	0	2798.2200000000003	2817.0	True	True
friends	05	031	6	6	0	4271.83	4300.5	True	True
friends	05	032	6	6	0	4298.65	4327.5	True	True
friends	05	033	4	4	0	2866.76	2886.0	True	True
friends	05	034	6	6	0	4321.0	4350.0	True	True
friends	05	035	6	6	0	4174.98	4203.0	True	True
friends	05	036	4	4	0	2768.42	2787.0	True	True
friends	05	037	2	2	0	1436.3600000000001	1446.0	False	True
friends	05	038	4	4	0	2759.48	2778.0	True	True
friends	05	039	6	6	0	4130.28	4158.0	True	True
friends	05	040	6	6	0	4283.75	4312.5	True	True
friends	05	041	4	4	0	2831.0	2850.0	True	True
friends	05	042	6	6	0	4224.15	4252.5	True	True
friends	05	043	6	6	0	4106.44	4134.0	True	True
friends	05	044	6	6	0	4027.47	4054.5	True	True
friends	05	045	6	6	0	4318.0199999999995	4347.0	True	True
friends	05	046	4	4	0	2784.81	2803.5	True	True
friends	05	047	5	0	0	3559.61		False	False
friends	05	048	2	0	0	1421.46		False	False
friends	05	049	2	0	0	1339.51		False	False
friends	05	050	6	0	0	4359.74		False	False
friends	05	051	5	0	0	3573.02		False	False
friends	05	052	2	0	0	1397.62		False	False
friends	05	053	4	0	0	3097.71		False	False
friends	05	054	3	0	0	2330.36		False	False
friends	05	055	3	0	0	1887.83		False	False
friends	05	056	5	0	0	3520.87		False	False
friends	05	057	10	0	0	7113.26		False	False
friends	06	001	10	10	10	7190.74	4846.5	True	True
friends	06	002	8	8	8	6046.42	4525.5	True	True
friends	06	003	10	10	10	7160.9400000000005	5755.5	True	True
friends	06	004	8	8	8	5781.2	3618.0	True	True
friends	06	005	11	11	11	7719.69	4302.0	True	True
friends	06	006	9	9	9	6265.45	4024.5	True	True
friends	06	007	12	12	12	8463.2	6880.5	True	True
friends	06	008	4	4	4	2908.48	2541.0	True	True
friends	06	009	6	6	6	4255.4400000000005	2653.5	True	True
friends	06	010	8	8	8	5676.9	4071.0	True	True
friends	06	011	4	4	4	2738.62	1702.5	False	True
friends	06	012	6	6	6	4106.44	2731.5	True	True
friends	06	013	8	8	0	5641.14	5679.0	True	True
friends	06	014	6	6	0	4234.58	4263.0	True	True
friends	06	015	6	6	0	4183.92	4212.0	True	True
friends	06	016	6	6	0	4154.12	4182.0	True	True
friends	06	018	4	4	0	2729.68	2748.0	True	True
friends	06	019	6	6	0	4143.6900000000005	4171.5	True	True
friends	06	020	12	12	0	8281.42	8337.0	True	True
friends	06	021	10	10	0	6922.54	6969.0	True	True
friends	06	022	2	2	0	1403.58	1413.0	False	True
friends	06	023	12	12	0	8457.24	8514.0	True	True
friends	06	024	10	10	0	6830.16	6876.0	True	True
friends	06	025	6	6	0	4067.7	4095.0	True	True
friends	06	026	6	6	0	4034.92	4062.0	True	True
friends	06	027	4	4	0	3005.33	3025.5	True	True
friends	06	028	6	6	0	4256.93	4285.5	True	True
friends	06	029	4	4	0	3008.31	3028.5	True	True
friends	06	030	6	6	0	4216.7	4245.0	True	True
friends	06	031	4	4	0	2801.2	2820.0	True	True
friends	06	032	2	2	0	1470.63	1480.5	False	True
friends	06	033	6	6	0	4298.65	4327.5	True	True
friends	06	034	2	2	0	1370.8000000000002	1380.0	False	True
friends	06	035	4	4	0	2893.58	2913.0	True	True
friends	06	036	2	2	0	1543.6399999999999	1554.0	False	True
friends	06	037	4	4	0	2789.2799999999997	2808.0	True	True
friends	06	038	4	4	0	2765.44	2784.0	True	True
friends	06	039	4	4	0	2768.42	2787.0	True	True
friends	06	042	4	4	0	2836.96	2856.0	True	True
friends	06	043	4	4	0	2719.25	2737.5	True	True
friends	06	044	4	4	0	2769.91	2788.5	True	True
friends	06	045	4	4	0	2732.66	2751.0	True	True
friends	06	046	4	4	0	2990.4300000000003	3010.5	True	True
friends	06	047	4	4	0	2740.1099999999997	2758.5	True	True
friends	06	048	4	4	0	2875.7	2895.0	True	True
friends	06	049	6	6	0	4106.44	4134.0	True	True
friends	06	050	2	2	0	1348.4499999999998	1357.5	False	True
friends	06	051	5	5	0	3364.42	3387.0	True	True
friends	06	052	3	3	0	2133.68	2148.0	True	True
friends	06	053	2	2	0	1498.94	1509.0	False	True
friends	06	054	3	3	0	2054.71	2068.5	True	True
friends	06	055	1	1	0	730.1	735.0	False	True
friends	06	056	4	0	0	2848.88		False	False
friends	06	057	4	0	0	2588.13		False	False
friends	06	058	4	0	0	2880.17		False	False
friends	06	059	5	0	0	2935.2999999999997		False	False
friends	06	060	7	0	0	4917.0		False	False
friends	06	061	3	0	0	2382.51		False	False
friends	06	062	1	0	0	694.34		False	False
friends	06	063	6	0	0	4318.02		False	False
friends	06	064	1	0	0	645.17		False	False
friends	06	065	5	0	0	3520.87		False	False
friends	06	066	2	0	0	1403.58		False	False
friends	06	067	2	0	0	1330.5700000000002		False	False
friends	06	068	2	0	0	1454.24		False	False
friends	06	069	1	0	0	715.2		False	False
friends	06	070	3	0	0	2209.67		False	False
gamepad	01	001	2	2	2	616.86	565.5	False	True
gamepad	01	004	2	2	2	616.86	610.5	False	True
gamepad	01	006	2	2	2	616.86	550.5	False	True
gamepad	01	007	2	2	2	616.86	562.5	False	True
gamepad	01	009	2	2	2	616.86	469.5	False	True
gamepad	02	002	2	2	2	616.86	405.0	False	True
gamepad	02	003	2	2	2	616.86	442.5	False	True
gamepad	02	005	2	2	2	616.86	514.5	False	True
gamepad	02	008	2	2	2	616.86	481.5	False	True
gamepad	03	003	2	2	2	616.86	619.5	False	True
gamepad	03	005	2	2	2	616.86	621.0	False	True
gamepad	03	008	2	2	2	616.86	618.0	False	True
gamepad	03	010	2	2	2	616.86	621.0	False	True
gamepad	06	002	2	2	2	616.86	438.0	False	True
gamepad	06	003	2	2	2	616.86	466.5	False	True
gamepad	06	006	2	2	2	616.86	391.5	False	True
gamepad	06	007	2	2	2	616.86	379.5	False	True
harrypotter	01		7	7	7	5010.87		False	False
harrypotter	02		7	7	7	5010.87		False	False
harrypotter	03		7	7	7	5010.87		False	False
harrypotter	05		7	7	7	5010.87		False	False
harrypotter	06		7	7	7	5010.87		False	False
hcptrt	01	001	5	5	5	1808.8600000000001	1683.0	False	True
hcptrt	01	002	14	14	14	2932.32	2908.5	True	True
hcptrt	01	003	8	8	8	2360.16	2175.0	True	True
hcptrt	01	004	8	8	8	2384.0	2208.0	True	True
hcptrt	01	005	14	14	14	2932.32	2728.5	True	True
hcptrt	01	006	14	14	14	2932.32	2866.5	True	True
hcptrt	01	007	8	8	8	2360.16	2170.5	True	True
hcptrt	01	008	14	14	14	2932.32	2892.0	True	True
hcptrt	01	009	8	8	8	2360.16	2334.0	True	True
hcptrt	01	010	14	14	14	2932.32	2814.0	True	True
hcptrt	02	001	8	8	8	2360.16	1867.5	True	True
hcptrt	02	002	14	14	14	2932.32	2178.0	True	True
hcptrt	02	003	8	8	8	2360.16	1720.5	False	True
hcptrt	02	004	14	14	14	2932.32	2353.5	True	True
hcptrt	02	005	8	8	8	2360.16	1756.5	False	True
hcptrt	02	006	14	14	14	2932.32	2490.0	True	True
hcptrt	02	007	8	8	8	2360.16	1759.5	False	True
hcptrt	02	008	14	14	14	2932.32	2481.0	True	True
hcptrt	02	009	8	8	8	2360.16	1690.5	False	True
